open_time,open,high,low,close,volume
2020-11-22 00:00:00+00:00,552.99,580.54,511.98,560.19,4394.34675
2020-11-23 00:00:00+00:00,561.37,610.51,550.44,609.36,4022.34421
2020-11-24 00:00:00+00:00,609.12,622.17,588.76,604.7,4537.17322
2020-11-25 00:00:00+00:00,605.79,605.85,554.35,570.96,2583.36659
2020-11-26 00:00:00+00:00,569.04,576.54,482.46,518.28,9632.47989
2020-11-27 00:00:00+00:00,520.0,530.6,494.25,517.96,2644.48429
2020-11-28 00:00:00+00:00,518.47,547.77,506.9,537.6,1923.95644
2020-11-29 00:00:00+00:00,537.47,576.74,530.93,575.84,2369.91522
2020-11-30 00:00:00+00:00,576.63,616.36,570.73,616.36,4871.1103
2020-12-01 00:00:00+00:00,616.66,635.62,562.01,585.43,7946.7266
2020-12-02 00:00:00+00:00,584.58,604.64,574.76,597.16,3291.75071
2020-12-03 00:00:00+00:00,597.0,623.33,586.14,616.11,2261.74159
2020-12-04 00:00:00+00:00,615.41,619.86,566.01,567.38,3777.64698
2020-12-05 00:00:00+00:00,566.99,597.0,561.03,597.0,1112.28317
2020-12-06 00:00:00+00:00,597.09,607.65,583.13,601.79,2168.73324
2020-12-07 00:00:00+00:00,602.16,602.75,583.23,591.1,2510.12219
2020-12-08 00:00:00+00:00,590.59,594.9,549.45,555.03,2633.44904
2020-12-09 00:00:00+00:00,554.57,578.0,530.9,573.33,3946.482
2020-12-10 00:00:00+00:00,572.99,575.65,548.11,558.72,2135.95169
2020-12-11 00:00:00+00:00,559.35,560.32,535.18,544.15,2602.59742
2020-12-12 00:00:00+00:00,544.32,573.84,543.83,567.67,1987.05132
2020-12-13 00:00:00+00:00,567.92,595.04,563.58,590.87,3139.86575
2020-12-14 00:00:00+00:00,591.06,591.42,575.85,586.51,1700.87186
2020-12-15 00:00:00+00:00,586.55,597.28,579.43,589.34,2305.12822
2020-12-16 00:00:00+00:00,588.56,638.47,581.0,637.49,5050.74326
2020-12-17 00:00:00+00:00,637.33,675.89,626.94,643.85,10329.54198
2020-12-18 00:00:00+00:00,643.31,664.42,630.0,653.67,5797.85418
2020-12-19 00:00:00+00:00,654.4,670.07,645.71,658.44,2326.09972
2020-12-20 00:00:00+00:00,657.19,661.0,621.49,638.45,2954.75495
2020-12-21 00:00:00+00:00,637.1,647.99,596.48,608.45,4849.8372
2020-12-22 00:00:00+00:00,608.44,637.54,588.58,636.67,5667.35964
2020-12-23 00:00:00+00:00,637.1,642.48,552.09,585.41,5736.3751
2020-12-24 00:00:00+00:00,585.71,615.0,565.82,612.68,5476.94501
2020-12-25 00:00:00+00:00,612.83,650.0,605.0,626.46,7022.69887
2020-12-26 00:00:00+00:00,627.75,652.88,615.58,637.57,6076.16224
2020-12-27 00:00:00+00:00,637.57,717.52,625.61,684.51,11413.09875
2020-12-28 00:00:00+00:00,685.6,748.02,682.0,729.94,7546.78864
2020-12-29 00:00:00+00:00,729.86,740.55,689.1,732.0,5689.50091
2020-12-30 00:00:00+00:00,732.21,758.92,717.69,751.73,4005.16756
2020-12-31 00:00:00+00:00,752.43,755.54,721.86,736.24,4876.06264
2021-01-01 00:00:00+00:00,737.61,749.11,715.62,728.52,3084.3785
2021-01-02 00:00:00+00:00,729.46,787.22,715.34,774.56,8325.47357
2021-01-03 00:00:00+00:00,774.6,1010.82,768.74,978.14,19330.21676
2021-01-04 00:00:00+00:00,978.03,1160.8,881.58,1042.1,26998.69336
2021-01-05 00:00:00+00:00,1043.81,1133.8,970.0,1100.22,18624.18143
2021-01-06 00:00:00+00:00,1100.0,1212.65,1057.98,1208.58,17559.80908
2021-01-07 00:00:00+00:00,1209.53,1289.11,1150.0,1224.2,12133.83692
2021-01-08 00:00:00+00:00,1226.69,1272.88,1065.17,1216.5,19566.18845
2021-01-09 00:00:00+00:00,1216.89,1302.86,1172.69,1275.48,10254.4139
2021-01-10 00:00:00+00:00,1277.05,1348.22,1147.1,1254.69,12534.01472
2021-01-11 00:00:00+00:00,1254.71,1259.68,800.0,1089.17,26350.66766
2021-01-12 00:00:00+00:00,1086.38,1148.86,1011.0,1050.42,16189.11647
2021-01-13 00:00:00+00:00,1049.82,1137.21,988.1,1128.81,15999.41894
2021-01-14 00:00:00+00:00,1131.58,1247.34,1086.0,1232.14,12574.4765
2021-01-15 00:00:00+00:00,1232.47,1255.37,1072.08,1172.01,17127.19994
2021-01-16 00:00:00+00:00,1172.01,1292.88,1151.79,1227.63,9344.46971
2021-01-17 00:00:00+00:00,1226.87,1269.6,1167.61,1232.87,8459.77435
2021-01-18 00:00:00+00:00,1232.87,1260.4,1183.33,1258.61,8096.07486
2021-01-19 00:00:00+00:00,1259.08,1439.33,1253.42,1368.78,18915.27917
2021-01-20 00:00:00+00:00,1365.82,1407.86,1235.53,1376.38,14649.61596
2021-01-21 00:00:00+00:00,1377.37,1388.17,1084.85,1111.51,13850.20973
2021-01-22 00:00:00+00:00,1111.85,1273.19,1043.09,1233.5,11501.14657
2021-01-23 00:00:00+00:00,1232.44,1272.53,1197.11,1232.81,4350.24424
2021-01-24 00:00:00+00:00,1233.49,1399.0,1220.0,1391.15,5805.04273
2021-01-25 00:00:00+00:00,1393.2,1474.64,1294.12,1318.62,14715.11642
2021-01-26 00:00:00+00:00,1316.67,1378.37,1245.35,1366.81,14260.8637
2021-01-27 00:00:00+00:00,1366.23,1373.73,1207.98,1237.28,8378.5525
2021-01-28 00:00:00+00:00,1237.28,1360.86,1217.97,1328.34,6465.2553
2021-01-29 00:00:00+00:00,1329.95,1436.42,1286.11,1378.9,17474.14258
2021-01-30 00:00:00+00:00,1378.45,1406.4,1327.01,1376.49,5388.83326
2021-01-31 00:00:00+00:00,1378.56,1379.48,1281.22,1313.57,3712.42284
2021-02-01 00:00:00+00:00,1312.35,1378.24,1270.0,1373.34,2794.097
2021-02-02 00:00:00+00:00,1374.99,1547.82,1360.1,1512.13,9322.60357
2021-02-03 00:00:00+00:00,1512.26,1668.65,1509.29,1664.81,7568.99228
2021-02-04 00:00:00+00:00,1666.76,1695.0,1556.78,1596.35,9140.39564
2021-02-05 00:00:00+00:00,1596.34,1760.69,1592.27,1720.87,5266.4374
2021-02-06 00:00:00+00:00,1719.92,1743.97,1644.99,1678.84,3132.49235
2021-02-07 00:00:00+00:00,1679.18,1692.09,1491.88,1614.93,4148.48929
2021-02-08 00:00:00+00:00,1611.58,1775.77,1563.59,1750.06,4595.22839
2021-02-09 00:00:00+00:00,1749.96,1821.52,1710.52,1771.5,4171.46145
2021-02-10 00:00:00+00:00,1772.16,1836.06,1650.0,1741.85,4133.57861
2021-02-11 00:00:00+00:00,1741.64,1817.59,1703.7,1785.77,2763.5868
2021-02-12 00:00:00+00:00,1788.77,1863.91,1740.96,1840.56,3022.76802
2021-02-13 00:00:00+00:00,1841.18,1872.2,1762.82,1816.41,2221.01758
2021-02-14 00:00:00+00:00,1817.26,1850.0,1785.59,1800.0,1752.27348
2021-02-15 00:00:00+00:00,1800.5,1835.48,1657.5,1783.28,4810.54714
2021-02-16 00:00:00+00:00,1779.28,1826.69,1724.03,1780.44,3818.69307
2021-02-17 00:00:00+00:00,1784.4,1854.28,1733.4,1848.94,3128.9528
2021-02-18 00:00:00+00:00,1850.84,1950.9,1850.84,1940.95,3207.41979
2021-02-19 00:00:00+00:00,1942.09,1972.91,1892.09,1956.13,6682.2845
2021-02-20 00:00:00+00:00,1956.13,2040.79,1804.38,1914.69,5251.36661
2021-02-21 00:00:00+00:00,1910.96,1976.0,1884.53,1933.91,4397.00703
2021-02-22 00:00:00+00:00,1933.91,1936.18,1530.59,1777.54,11529.07634
2021-02-23 00:00:00+00:00,1777.54,1782.46,1357.03,1577.92,16245.14593
2021-02-24 00:00:00+00:00,1579.26,1711.73,1502.81,1624.95,6179.07491
2021-02-25 00:00:00+00:00,1623.2,1670.19,1459.27,1480.83,3292.06202
2021-02-26 00:00:00+00:00,1482.7,1561.74,1401.0,1441.77,5365.48627
2021-02-27 00:00:00+00:00,1446.48,1528.38,1425.71,1457.62,3792.4136
2021-02-28 00:00:00+00:00,1455.35,1466.57,1293.47,1419.49,7282.23125
2021-03-01 00:00:00+00:00,1420.49,1571.41,1410.56,1569.36,4032.56546
2021-03-02 00:00:00+00:00,1570.89,1604.41,1455.98,1485.47,3825.75527
2021-03-03 00:00:00+00:00,1484.99,1655.09,1477.31,1567.9,5513.08006
2021-03-04 00:00:00+00:00,1567.79,1624.6,1502.68,1539.41,6154.40656
2021-03-05 00:00:00+00:00,1535.44,1549.53,1442.1,1527.89,10414.79175
2021-03-06 00:00:00+00:00,1529.36,1671.71,1514.5,1650.0,9629.42169
2021-03-07 00:00:00+00:00,1652.69,1734.64,1631.57,1728.27,8633.01598
2021-03-08 00:00:00+00:00,1730.05,1841.69,1665.94,1834.61,8470.97626
2021-03-09 00:00:00+00:00,1834.61,1870.82,1800.9,1870.82,13838.62044
2021-03-10 00:00:00+00:00,1871.68,1919.63,1744.86,1799.03,15643.87305
2021-03-11 00:00:00+00:00,1795.89,1865.0,1725.12,1826.07,7933.37631
2021-03-12 00:00:00+00:00,1826.87,1841.43,1721.01,1765.33,12321.56498
2021-03-13 00:00:00+00:00,1767.3,1949.41,1729.48,1921.42,4338.44135
2021-03-14 00:00:00+00:00,1921.39,1933.09,1836.96,1854.21,2622.01071
2021-03-15 00:00:00+00:00,1849.85,1890.68,1733.56,1794.0,4290.09446
2021-03-16 00:00:00+00:00,1793.94,1817.98,1712.68,1806.6,3866.30424
2021-03-17 00:00:00+00:00,1805.59,1838.67,1742.25,1822.88,3496.01226
2021-03-18 00:00:00+00:00,1825.0,1849.77,1759.83,1775.42,3580.38675
2021-03-19 00:00:00+00:00,1776.39,1839.68,1734.64,1808.62,2102.0392
2021-03-20 00:00:00+00:00,1810.05,1868.63,1801.29,1802.94,1420.08634
2021-03-21 00:00:00+00:00,1806.89,1816.85,1745.64,1781.59,1583.19886
2021-03-22 00:00:00+00:00,1784.59,1807.25,1655.59,1682.97,2723.73052
2021-03-23 00:00:00+00:00,1680.81,1721.44,1652.17,1669.66,2121.15703
2021-03-24 00:00:00+00:00,1671.13,1740.42,1543.73,1584.26,3333.51938
2021-03-25 00:00:00+00:00,1582.98,1622.63,1549.12,1589.14,2771.41195
2021-03-26 00:00:00+00:00,1589.63,1700.03,1589.63,1699.29,2654.60681
2021-03-27 00:00:00+00:00,1699.29,1732.92,1665.85,1713.45,1860.77438
2021-03-28 00:00:00+00:00,1715.04,1725.03,1661.28,1689.09,1843.79618
2021-03-29 00:00:00+00:00,1686.32,1840.71,1678.1,1816.97,2803.3966
2021-03-30 00:00:00+00:00,1816.67,1859.03,1787.88,1840.84,2070.00086
2021-03-31 00:00:00+00:00,1840.98,1946.6,1771.09,1916.27,3372.65137
2021-04-01 00:00:00+00:00,1920.93,1984.58,1885.19,1967.55,4001.48604
2021-04-02 00:00:00+00:00,1967.64,2145.24,1948.82,2135.37,5598.31698
2021-04-03 00:00:00+00:00,2135.37,2138.79,2001.93,2010.35,6929.18576
2021-04-04 00:00:00+00:00,2008.7,2092.75,1976.47,2076.94,3627.79751
2021-04-05 00:00:00+00:00,2075.04,2132.46,2002.45,2108.11,3980.78079
2021-04-06 00:00:00+00:00,2108.71,2151.17,2046.07,2111.75,3899.70081
2021-04-07 00:00:00+00:00,2113.98,2129.08,1931.82,1964.8,5986.36911
2021-04-08 00:00:00+00:00,1963.61,2084.28,1948.32,2079.7,2760.3006
2021-04-09 00:00:00+00:00,2080.42,2100.59,2048.98,2067.63,1585.83105
2021-04-10 00:00:00+00:00,2067.35,2198.51,2058.35,2134.03,2797.01228
2021-04-11 00:00:00+00:00,2137.57,2164.42,1521.6,2150.18,2513.27177
2021-04-12 00:00:00+00:00,2150.82,2201.46,2103.16,2137.27,3757.16513
2021-04-13 00:00:00+00:00,2138.75,2317.38,2137.02,2299.51,4957.72014
2021-04-14 00:00:00+00:00,2301.82,2447.56,2281.89,2431.93,7993.87073
2021-04-15 00:00:00+00:00,2435.4,2543.18,2399.66,2513.89,5129.20316
2021-04-16 00:00:00+00:00,2514.27,2547.2,2300.79,2424.38,10038.56221
2021-04-17 00:00:00+00:00,2426.37,2495.78,2313.75,2318.52,5361.0102
2021-04-18 00:00:00+00:00,2317.82,2339.27,1902.84,2235.73,14721.5096
2021-04-19 00:00:00+00:00,2237.42,2277.75,2079.2,2160.5,7823.89473
2021-04-20 00:00:00+00:00,2162.94,2346.0,2052.14,2330.39,10391.6337
2021-04-21 00:00:00+00:00,2330.92,2468.62,2236.6,2356.67,9550.03695
2021-04-22 00:00:00+00:00,2358.39,2644.69,2250.0,2398.49,19255.42312
2021-04-23 00:00:00+00:00,2397.78,2442.66,2100.0,2364.93,25396.72448
2021-04-24 00:00:00+00:00,2365.91,2365.91,2157.26,2214.89,9697.25314
2021-04-25 00:00:00+00:00,2214.52,2356.49,2164.87,2319.93,10756.44906
2021-04-26 00:00:00+00:00,2319.98,2543.0,2304.51,2533.71,9826.53218
2021-04-27 00:00:00+00:00,2533.71,2679.54,2481.11,2666.17,6311.18081
